"","room_id","host_id","room_type","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","price","minstay","latitude","longitude","last_modified"
"1",12784064,3137257,"Entire home/apt",NA,"North End",28,4.5,5,2,200,NA,42.364673,-71.055756,"2017-04-08 15:58:44.097503"
"2",3755609,19223882,"Private room",NA,"Roslindale",22,5,1,1,72,NA,42.275637,-71.1248,"2017-04-08 15:12:31.579145"
"3",990668,1651480,"Private room",NA,"South End",112,5,2,1,93,NA,42.341457,-71.076406,"2017-04-08 15:19:30.478553"
"4",3968797,4762495,"Private room",NA,"Roslindale",30,5,2,1,85,NA,42.291107,-71.131338,"2017-04-08 15:24:35.994515"
"5",2915643,14891491,"Entire home/apt",NA,"Back Bay",1,0,4,1,289,NA,42.349541,-71.078487,"2017-04-08 16:04:58.840221"
"6",17909550,1118374,"Entire home/apt",NA,"Allston",0,0,3,0,197,NA,42.351266,-71.125633,"2017-04-08 15:58:44.977045"
"7",15285110,12243051,"Entire home/apt",NA,"Fenway",6,5,3,2,89,NA,42.346093,-71.104932,"2017-04-08 15:42:22.416531"
"8",11395461,59792146,"Entire home/apt",NA,"Charlestown",0,0,2,0,300,NA,42.373552,-71.062363,"2017-04-08 16:02:36.058289"
"9",6882615,22348222,"Entire home/apt",NA,"Back Bay",25,4.5,2,0,160,NA,42.349299,-71.08347,"2017-04-08 15:48:44.492719"
"10",15434122,25796770,"Private room",NA,"Back Bay",1,0,3,1,145,NA,42.351271,-71.089096,"2017-04-08 15:27:21.424696"
"11",11219948,25188,"Entire home/apt",NA,"Fenway",0,0,4,2,299,NA,42.345527,-71.102579,"2017-04-08 16:05:46.971505"
"12",17702303,114898424,"Entire home/apt",NA,"Downtown",1,0,2,0,225,NA,42.359613,-71.055204,"2017-04-08 16:02:27.680082"
"13",11739985,35411494,"Entire home/apt",NA,"Jamaica Plain",51,5,5,2,189,NA,42.31779,-71.104897,"2017-04-08 15:58:46.581971"
"14",6991310,36495581,"Entire home/apt",NA,"Back Bay",0,0,4,2,250,NA,42.349407,-71.084433,"2017-04-08 16:05:14.005475"
"15",15905164,103180240,"Private room",NA,"South End",27,4.5,2,1,60,NA,42.336159,-71.070719,"2017-04-08 15:05:49.836776"
"16",6287797,14980002,"Private room",NA,"South End",1,0,2,1,90,NA,42.33767,-71.076408,"2017-04-08 15:21:00.809328"
"17",10496192,33821088,"Entire home/apt",NA,"South End",0,0,2,1,89,NA,42.341448,-71.075356,"2017-04-08 15:43:48.074777"
"18",14994687,43202277,"Entire home/apt",NA,"Brighton",3,4,6,3,280,NA,42.35394,-71.159804,"2017-04-08 16:22:30.634867"
"19",8014950,42231579,"Entire home/apt",NA,"Brighton",9,4.5,3,1,115,NA,42.336898,-71.15018,"2017-04-08 15:45:02.372187"
"20",10701625,51673899,"Entire home/apt",NA,"Back Bay",8,4,4,1,249,NA,42.344835,-71.080752,"2017-04-08 16:05:40.899557"
"21",15509834,98655950,"Private room",NA,"Fenway",15,4.5,1,1,110,NA,42.348667,-71.093724,"2017-04-08 15:25:08.510981"
"22",3250847,886871,"Private room",NA,"Dorchester",10,4.5,1,1,60,NA,42.317255,-71.053855,"2017-04-08 15:10:14.447625"
"23",17110609,114904852,"Entire home/apt",NA,"Mission Hill",0,0,3,1,80,NA,42.327456,-71.097995,"2017-04-08 15:42:08.990720"
"24",3057116,15561828,"Private room",NA,"Dorchester",55,5,3,1,50,NA,42.308293,-71.076642,"2017-04-08 15:11:22.942422"
"25",6261296,7614614,"Private room",NA,"West Roxbury",73,5,2,1,70,NA,42.290185,-71.156375,"2017-04-08 15:12:20.854943"
"26",16276224,91548283,"Entire home/apt",NA,"Beacon Hill",24,4.5,6,2,95,NA,42.360939,-71.070832,"2017-04-08 15:42:21.718547"
"27",15297238,2356643,"Entire home/apt",NA,"Charlestown",22,4.5,2,1,215,NA,42.384964,-71.076661,"2017-04-08 16:03:02.955079"
"28",7356415,914630,"Private room",NA,"Dorchester",3,4.5,6,1,325,NA,42.288713,-71.056455,"2017-04-08 15:27:36.765589"
"29",8011545,42300377,"Private room",NA,"North End",47,5,1,1,79,NA,42.366628,-71.054509,"2017-04-08 15:12:35.438530"
"30",6693305,14303759,"Private room",NA,"Jamaica Plain",1,0,2,1,65,NA,42.320023,-71.10594,"2017-04-08 15:16:45.528133"
"31",5904992,25327613,"Private room",NA,"Mission Hill",5,4.5,2,1,79,NA,42.330048,-71.098527,"2017-04-08 15:16:24.594340"
"32",9685102,815156,"Private room",NA,"Brighton",70,4.5,2,1,44,NA,42.335887,-71.148954,"2017-04-08 15:06:09.456843"
"33",10070404,51673899,"Entire home/apt",NA,"Back Bay",25,4.5,6,2,174,NA,42.354814,-71.074652,"2017-04-08 15:48:52.201636"
"34",17790894,121530276,"Private room",NA,"Fenway",1,0,2,2,65,NA,42.350305,-71.092557,"2017-04-08 15:12:18.498247"
"35",9993826,30283594,"Entire home/apt",NA,"Back Bay",0,0,3,1,219,NA,42.345936,-71.079705,"2017-04-08 16:05:28.820637"
"36",15121740,57279567,"Entire home/apt",NA,"Back Bay",4,4.5,2,1,130,NA,42.351973,-71.086439,"2017-04-08 15:46:46.871254"
"37",6971836,36554652,"Entire home/apt",NA,"North End",10,5,3,1,250,NA,42.361828,-71.052483,"2017-04-08 16:03:23.537176"
"38",14959214,1264359,"Entire home/apt",NA,"Downtown",6,5,2,1,215,NA,42.363146,-71.063494,"2017-04-08 16:02:40.723329"
"39",7927765,18479599,"Private room",NA,"Dorchester",3,4.5,2,1,105,NA,42.324265,-71.059632,"2017-04-08 15:25:36.193847"
"40",5270703,27281334,"Private room",NA,"West Roxbury",0,0,2,1,160,NA,42.263443,-71.148642,"2017-04-08 15:27:19.739174"
"41",15232621,95459395,"Entire home/apt",NA,"Fenway",0,0,5,2,800,NA,42.34493,-71.09974,"2017-04-08 16:26:31.427818"
"42",7514336,22348222,"Entire home/apt",NA,"Beacon Hill",4,5,2,0,100,NA,42.360874,-71.062994,"2017-04-08 15:42:14.526755"
"43",17024774,4924213,"Entire home/apt",NA,"Beacon Hill",1,0,4,1,120,NA,42.359307,-71.066631,"2017-04-08 15:45:05.162701"
"44",7513906,22348222,"Entire home/apt",NA,"West Roxbury",1,0,2,0,137,NA,42.280096,-71.160763,"2017-04-08 15:46:59.340348"
"45",14231514,30489899,"Private room",NA,"Allston",1,0,1,1,60,NA,42.355079,-71.136959,"2017-04-08 15:09:17.232193"
"46",18055117,124261946,"Private room",NA,"Dorchester",0,0,2,1,49,NA,42.304749,-71.075206,"2017-04-08 15:11:19.698573"
"47",18711,71783,"Entire home/apt",NA,"Dorchester",17,4.5,6,3,100,NA,42.323286,-71.062103,"2017-04-08 15:42:36.908237"
"48",4737304,24158689,"Private room",NA,"Brighton",15,5,2,1,65,NA,42.349877,-71.164513,"2017-04-08 15:16:30.991390"
"49",8514932,37344176,"Private room",NA,"East Boston",30,4.5,2,1,105,NA,42.366225,-71.037294,"2017-04-08 15:25:16.954045"
"50",9216838,47928798,"Private room",NA,"Allston",2,0,2,1,105,NA,42.354375,-71.126924,"2017-04-08 15:25:58.308420"
"51",17593505,114490391,"Entire home/apt",NA,"North End",10,5,2,0,155,NA,42.36689,-71.057134,"2017-04-08 15:48:39.528112"
"52",7092874,2100288,"Entire home/apt",NA,"Beacon Hill",1,0,4,2,260,NA,42.355697,-71.073166,"2017-04-08 16:02:48.144806"
"53",15789680,45621468,"Private room",NA,"Brighton",4,5,2,2,70,NA,42.343709,-71.139933,"2017-04-08 15:12:53.700837"
"54",2931870,11631886,"Private room",NA,"Mattapan",57,4.5,3,1,79,NA,42.279208,-71.095272,"2017-04-08 15:18:21.118809"
"55",14789788,6950436,"Private room",NA,"South Boston",11,5,2,1,98,NA,42.329799,-71.053861,"2017-04-08 15:19:13.839105"
"56",4698487,13776857,"Entire home/apt",NA,"Hyde Park",4,5,8,4,269,NA,42.26138,-71.117977,"2017-04-08 16:02:18.975888"
"57",13374823,7198154,"Private room",NA,"Brighton",3,5,2,1,85,NA,42.340147,-71.148001,"2017-04-08 15:22:18.325653"
"58",12855005,12164071,"Private room",NA,"Jamaica Plain",10,5,2,1,60,NA,42.313422,-71.107119,"2017-04-08 15:06:04.412319"
"59",15085544,86748234,"Entire home/apt",NA,"Dorchester",1,0,6,2,139,NA,42.302439,-71.064051,"2017-04-08 15:47:01.252411"
"60",5030871,25521953,"Private room",NA,"Dorchester",24,4.5,2,1,81,NA,42.305713,-71.063958,"2017-04-08 15:19:41.137576"
"61",4053612,21021264,"Entire home/apt",NA,"Leather District",33,5,4,2,375,NA,42.351322,-71.057655,"2017-04-08 16:23:42.562813"
"62",9858828,50745636,"Entire home/apt",NA,"North End",23,5,2,0,150,NA,42.364867,-71.057691,"2017-04-08 15:49:11.922614"
"63",14421910,4962900,"Entire home/apt",NA,"Downtown",2,0,5,2,119,NA,42.365741,-71.059847,"2017-04-08 15:45:23.357841"
"64",15284016,95459395,"Entire home/apt",NA,"Chinatown",0,0,5,2,800,NA,42.348741,-71.059628,"2017-04-08 16:26:30.534050"
"65",169430,807320,"Entire home/apt",NA,"Roxbury",111,4.5,10,4,150,NA,42.321582,-71.090472,"2017-04-08 15:48:50.030646"
"66",14251839,26956083,"Private room",NA,"Allston",14,4.5,2,1,69,NA,42.361413,-71.12587,"2017-04-08 15:12:39.689070"
"67",11662695,8139434,"Entire home/apt",NA,"Allston",48,5,4,1,147,NA,42.350446,-71.140273,"2017-04-08 15:48:55.267188"
"68",11021254,10720336,"Private room",NA,"Dorchester",0,0,2,1,55,NA,42.297679,-71.080782,"2017-04-08 15:11:22.947956"
"69",4510513,20857768,"Entire home/apt",NA,"Downtown",26,4.5,2,0,249,NA,42.355917,-71.059775,"2017-04-08 16:02:08.488637"
"70",4350898,7447494,"Private room",NA,"Dorchester",13,4.5,2,1,59,NA,42.3281,-71.061742,"2017-04-08 15:05:55.598578"
"71",12972176,55048606,"Entire home/apt",NA,"South End",5,5,2,1,120,NA,42.338009,-71.073129,"2017-04-08 15:45:25.742523"
"72",12927298,68001856,"Entire home/apt",NA,"Roslindale",5,5,7,3,285,NA,42.290617,-71.132735,"2017-04-08 16:22:24.067822"
"73",15677538,4886373,"Private room",NA,"Jamaica Plain",0,0,2,1,60,NA,42.298613,-71.113069,"2017-04-08 15:11:32.792250"
"74",15020152,94803026,"Entire home/apt",NA,"Dorchester",1,0,8,4,450,NA,42.30465,-71.065129,"2017-04-08 17:13:48.625941"
"75",12130434,25188,"Entire home/apt",NA,"West End",3,4.5,4,2,349,NA,42.364291,-71.068376,"2017-04-08 16:56:51.572580"
