"","room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location"
"1",11492691,1178,8019927,"Entire home/apt",NA,"Houston",NA,"UNIVERSITY PLACE",0,NA,2,1,NA,66,NA,"Gated Houston medical center condo","2017-04-30 23:34:35.345337",29.700181,-95.416118,"0101000020E6100000B95164ADA1DA57C0D447E00F3FB33D40"
"2",12092906,1178,64823625,"Shared room",NA,"Houston",NA,"FOURTH WARD",44,5,3,1,NA,65,NA,"Blocks from midtown.","2017-05-01 18:48:05.669478",29.755277,-95.37605,"0101000020E61000004BEA043411D857C0C66B5ED559C13D40"
"3",16529380,1178,108718242,"Entire home/apt",NA,"Houston",NA,"GREATER UPTOWN",0,NA,4,2,NA,700,NA,"2 Bedroom/2 Bath Condo Galleria Area","2017-05-01 02:39:08.746665",29.744929,-95.480922,"0101000020E6100000537B116DC7DE57C08CD7BCAAB3BE3D40"
"4",15112191,1178,57533831,"Private room",NA,"Houston",NA,"GREENWAY / UPPER KIRBY AREA",22,4.5,1,1,NA,35,NA,"Lovely studio","2017-04-30 21:49:09.578883",29.741168,-95.4157,"0101000020E61000009F3C2CD49ADA57C07BD7A02FBDBD3D40"
"5",12134787,1178,13389844,"Entire home/apt",NA,"Houston",NA,"WASHINGTON AVENUE COALITION / MEMORIAL PARK",0,NA,6,3,NA,1000,NA,"SUPERBOWL '17 Houston Prime locatio","2017-05-01 02:58:24.028436",29.772058,-95.405439,"0101000020E610000078616BB6F2D957C07C9DD497A5C53D40"
"6",17093689,1178,40438220,"Entire home/apt",NA,"Houston",NA,"WASHINGTON AVENUE COALITION / MEMORIAL PARK",0,NA,4,1,NA,450,NA,"High Rise Apartment-Downtown","2017-05-01 01:37:40.016445",29.763954,-95.403898,"0101000020E6100000DE3AFF76D9D957C0FCA5457D92C33D40"
"7",14843165,1178,56642349,"Entire home/apt",NA,"Houston",NA,"NEARTOWN - MONTROSE",0,NA,6,3,NA,1500,NA,"New Construction in Montrose - Modern 4 Story Home","2017-05-01 03:57:43.556116",29.747677,-95.387997,"0101000020E61000008D7C5EF1D4D857C0ADF886C267BF3D40"
"8",16932111,1178,67809190,"Private room",NA,"Houston",NA,"WESTBURY",0,NA,2,1,NA,175,NA,"Private room-minutes from NRG","2017-04-30 22:43:32.309193",29.651858,-95.490045,"0101000020E61000005F24B4E55CDF57C0CFA2772AE0A63D40"
"9",10702091,1178,6153604,"Entire home/apt",NA,"Houston",NA,"NEARTOWN - MONTROSE",59,5,2,1,NA,75,NA,"Montrose Museum District, The Menil","2017-04-30 23:33:26.000897",29.737672,-95.398072,"0101000020E6100000035DFB027AD957C0C72C7B12D8BC3D40"
"10",17073423,1178,22095874,"Private room",NA,"Houston",NA,"GREATER HEIGHTS",3,5,2,0,NA,100,NA,"Executive Luxury near downtown","2017-04-30 22:41:40.864298",29.78299,-95.37908,"0101000020E610000055A4C2D842D857C055185B0872C83D40"
"11",10010686,1178,27679745,"Entire home/apt",NA,"Houston",NA,"MEMORIAL",0,NA,2,1,NA,80,NA,"Executing lodging - 1 Bedroom Apt","2017-04-30 23:33:09.180409",29.781066,-95.560229,"0101000020E61000005551BCCADAE357C07D04FEF0F3C73D40"
"12",16321104,1178,78195848,"Entire home/apt",NA,"Houston",NA,"ASTRODOME AREA",0,NA,6,2,NA,200,NA,"Location! Nice 2 bedroom near NRG!","2017-05-01 01:11:12.458369",29.696574,-95.385686,"0101000020E61000009B215514AFD857C0703E75AC52B23D40"
"13",17126771,1178,41455816,"Entire home/apt",NA,"Houston",NA,"MID WEST",5,5,8,4,NA,165,NA,"Westchase / Galleria Area Charming House","2017-05-01 00:57:56.344817",29.731933,-95.534396,"0101000020E61000003FC7478B33E257C0F9DC09F65FBB3D40"
"14",16886451,1178,83781506,"Entire home/apt",NA,"Houston",NA,"MIDTOWN",0,NA,8,3,NA,1500,NA,"3 STORY TOWNHOUSE IN DOWNTOWN  (SUPERBOWL)","2017-05-01 03:57:11.650239",29.749134,-95.376168,"0101000020E61000005073F22213D857C05952EE3EC7BF3D40"
"15",16855356,1178,112026305,"Entire home/apt",NA,"Houston",NA,"ASTRODOME AREA",0,NA,6,2,NA,1199,NA,"Super Bowl appartment","2017-05-01 03:56:48.924418",29.684676,-95.401837,"0101000020E6100000A85489B2B7D957C0295B24ED46AF3D40"
"16",16767812,1178,377621,"Private room",NA,"Houston",NA,"DOWNTOWN",1,NA,2,1,NA,65,NA,"Private Room close to downtown!","2017-04-30 22:36:05.579081",29.745373,-95.346701,"0101000020E6100000641F645930D657C04852D2C3D0BE3D40"
"17",16323210,1178,65484012,"Entire home/apt",NA,"Houston",NA,"CENTRAL NORTHWEST",0,NA,4,2,NA,2500,NA,"Beautiful Bungalow Available for Super Bowl","2017-05-01 04:37:01.206050",29.826226,-95.41784,"0101000020E61000007BBDFBE3BDDA57C0DA1A118C83D33D40"
"18",15497236,1178,99530410,"Entire home/apt",NA,"Houston",NA,"MIDTOWN",0,NA,10,4,NA,7500,NA,"Superbowl 2017 Midtown Condo","2017-05-01 04:45:26.431313",29.749942,-95.378701,"0101000020E61000009A7D1EA33CD857C097E5EB32FCBF3D40"
"19",6089388,1178,20184707,"Entire home/apt",NA,"Houston",NA,"WASHINGTON AVENUE COALITION / MEMORIAL PARK",23,5,8,3,NA,180,NA,"Beautiful House Great Location!","2017-05-01 00:51:26.689284",29.769995,-95.412075,"0101000020E6100000F31FD26F5FDA57C062156F641EC53D40"
"20",15548074,1178,25717849,"Entire home/apt",NA,"Houston",NA,"ASTRODOME AREA",0,NA,3,1,NA,300,NA,"BEAUTIFUL 1 BR-WALKING DISTANCE TO NRG STADIUM","2017-05-01 01:18:26.230260",29.683488,-95.388545,"0101000020E61000008E01D9EBDDD857C05D35CF11F9AE3D40"
"21",13975563,1178,83351608,"Entire home/apt",NA,"Houston",NA,"GREATER HEIGHTS",0,NA,10,3,NA,2200,NA,"Houston Super Bowl 2017: In the Heart of the City","2017-05-01 04:42:19.491452",29.779845,-95.391618,"0101000020E610000098A1F14410D957C0FAF202ECA3C73D40"
"22",16929798,1178,5220792,"Entire home/apt",NA,"Houston",NA,"MEMORIAL",0,NA,8,4,NA,1350,NA,"super bowl  home  in beautiful  memorial area","2017-05-01 03:55:30.881676",29.772646,-95.548139,"0101000020E610000061AA99B514E357C09E62D520CCC53D40"
"23",14382893,1178,88309740,"Entire home/apt",NA,"Houston",NA,"GOLFCREST / BELLFORT / REVEILLE",1,NA,8,3,NA,500,NA,"Perfect for SUPER BOWL","2017-05-01 01:40:36.244845",29.679892,-95.287332,"0101000020E610000009C6C1A563D257C0E1CFF0660DAE3D40"
"24",17023070,1178,58342804,"Private room",NA,"Houston",NA,"SECOND WARD",0,NA,2,1,NA,120,NA,"Bedroom in Townhouse Downtown Houston","2017-04-30 22:42:40.187557",29.756653,-95.347911,"0101000020E6100000CBBA7F2C44D657C0986BD102B4C13D40"
"25",18096036,1178,16533520,"Entire home/apt",NA,"Houston",NA,"SPRING BRANCH WEST",2,NA,2,1,NA,39,NA,"Efficient eficiency, off I-10, Bunker Hill exit","2017-04-30 23:29:52.516031",29.791445,-95.537513,"0101000020E6100000310BED9C66E257C02D95B7239CCA3D40"
"26",14808906,1178,77330404,"Entire home/apt",NA,"Houston",NA,"WESTBURY",8,5,8,4,NA,169,NA,"4BR 6 Mi to NRG/8 Mi to Med Center","2017-05-01 00:56:13.108362",29.63912,-95.494636,"0101000020E610000027DBC01DA8DF57C032384A5E9DA33D40"
"27",14489164,1178,25943268,"Entire home/apt",NA,"Houston",NA,"WASHINGTON AVENUE COALITION / MEMORIAL PARK",0,NA,6,3,NA,2000,NA,"Washington Heights modern Super Bowl townhouse","2017-05-01 04:37:35.474165",29.774631,-95.403843,"0101000020E6100000FC6D4F90D8D957C0C0779B374EC63D40"
"28",14399893,1178,64685366,"Entire home/apt",NA,"Houston",NA,"WESTBURY",0,NA,8,3,NA,2000,NA,"Just minutes away from Reliant","2017-05-01 05:04:29.225844",29.646205,-95.479334,"0101000020E610000018778368ADDE57C0FD82DDB06DA53D40"
"29",16841217,1178,110736042,"Entire home/apt",NA,"Houston",NA,"WASHINGTON AVENUE COALITION / MEMORIAL PARK",1,NA,4,1,NA,80,NA,"Great apartment!","2017-04-30 23:32:36.330150",29.763733,-95.403511,"0101000020E6100000E124CD1FD3D957C03FE0810184C33D40"
"30",16810353,1178,84128139,"Private room",NA,"Houston",NA,"DOWNTOWN",1,NA,4,2,NA,180,NA,"Modern East Downtown Home in Gated Community","2017-04-30 22:43:27.302150",29.744265,-95.350533,"0101000020E6100000CDCAF6216FD657C0B48EAA2688BE3D40"
"31",13753351,1178,51693501,"Entire home/apt",NA,"Houston",NA,"WILLOW MEADOWS / WILLOWBEND AREA",0,NA,10,3,NA,1000,NA,"Modern Townhouse 3bd / 2.5ba 2 miles from NRG","2017-05-01 02:57:44.637134",29.67722,-95.436501,"0101000020E6100000F7EAE3A1EFDB57C07632384A5EAD3D40"
"32",16764371,1178,5151654,"Entire home/apt",NA,"Houston",NA,"SECOND WARD",0,NA,4,2,NA,400,NA,"2 Bedroom Apartment - Downtown Houston (Eado)","2017-05-01 01:40:27.999476",29.757913,-95.348264,"0101000020E6100000F29716F549D657C097361C9606C23D40"
"33",4839573,1178,3767766,"Entire home/apt",NA,"Houston",NA,"AFTON OAKS / RIVER OAKS AREA",0,NA,3,1,NA,225,NA,"Luxurious 1 br in Highland Village/River Oaks","2017-05-01 01:12:43.248609",29.742797,-95.450785,"0101000020E6100000C02154A9D9DC57C02191B6F127BE3D40"
"34",16842038,1178,55295521,"Entire home/apt",NA,"Houston",NA,"DOWNTOWN",0,NA,6,3,NA,2100,NA,"Make Superbowl Amazing in this Modern Townhome","2017-05-01 04:49:30.289026",29.747792,-95.351373,"0101000020E6100000A2EC2DE57CD657C0DF35E84B6FBF3D40"
"35",16813478,1178,5677483,"Entire home/apt",NA,"Houston",NA,"WASHINGTON AVENUE COALITION / MEMORIAL PARK",0,NA,8,3,NA,3000,NA,"Sawyer Heights Gated Townhome","2017-05-01 04:38:54.197759",29.775614,-95.374984,"0101000020E61000007D21E4BCFFD757C0DB519CA38EC63D40"
"36",17095174,1178,114712183,"Private room",NA,"Houston",NA,"FOURTH WARD",0,NA,2,1,NA,200,NA,"A suite in a modern home","2017-04-30 22:44:00.452531",29.757041,-95.379348,"0101000020E61000006473D53C47D857C02CBB6070CDC13D40"
"37",17075671,1178,107959738,"Entire home/apt",NA,"Houston",NA,"GREATER THIRD WARD",0,NA,4,2,NA,150,NA,"Beautiful House 5 mins from NRG & Nightlife!!!","2017-05-01 00:53:12.394554",29.732641,-95.369479,"0101000020E6100000C3633F8BA5D757C070B54E5C8EBB3D40"
"38",6337546,1178,30895877,"Private room",NA,"Houston",NA,"WASHINGTON AVENUE COALITION / MEMORIAL PARK",21,5,2,1,NA,59,NA,"Cozy room with Private Entrance","2017-04-30 22:02:49.192667",29.775349,-95.41638,"0101000020E610000058AD4CF8A5DA57C07EFCA5457DC63D40"
"39",15631593,1178,100789660,"Private room",NA,"Houston",NA,"NEARTOWN - MONTROSE",2,NA,2,1,NA,100,NA,"Great room with unbeatable location","2017-04-30 22:43:07.826162",29.74824,-95.384809,"0101000020E6100000378DEDB5A0D857C01D8F19A88CBF3D40"
"40",16857983,1178,92612265,"Entire home/apt",NA,"Houston",NA,"AFTON OAKS / RIVER OAKS AREA",0,NA,8,4,NA,5000,NA,"Exclusive SuperBowl Weekend Family Home.","2017-05-01 04:52:51.136343",29.742091,-95.434339,"0101000020E61000002618CE35CCDB57C0EBA7FFACF9BD3D40"
"41",16480018,1178,13404842,"Entire home/apt",NA,"Houston",NA,"SOUTH MAIN",0,NA,4,1,NA,500,NA,"NRG area home","2017-05-01 01:40:40.624329",29.686666,-95.420307,"0101000020E6100000E9D1544FE6DA57C06F46CD57C9AF3D40"
"42",16660863,1178,110168097,"Entire home/apt",NA,"Houston",NA,"ACRES HOME",0,NA,6,2,NA,749,NA,"Superbowl Mega Manor","2017-05-01 02:58:44.843288",29.847894,-95.45025,"0101000020E6100000894160E5D0DC57C08179C8940FD93D40"
"43",6379515,1178,10173515,"Entire home/apt",NA,"Houston",NA,"BRAESWOOD",0,NA,5,2,NA,499,NA,"Walk to Superbowl::or::$5 Uber ride","2017-05-01 01:40:08.834445",29.6853,-95.43363,"0101000020E610000020240B98C0DB57C0E5F21FD26FAF3D40"
"44",16635324,1178,109899291,"Entire home/apt",NA,"Houston",NA,"ASTRODOME AREA",2,NA,4,1,NA,600,NA,"Walking distance to NRG stadium! Free parking","2017-05-01 02:32:49.149599",29.697044,-95.403222,"0101000020E6100000C6C1A563CED957C07FDFBF7971B23D40"
"45",16752010,1178,111144449,"Entire home/apt",NA,"Houston",NA,"WASHINGTON AVENUE COALITION / MEMORIAL PARK",0,NA,7,2,NA,2000,NA,"DOWNTOWN SUPERBOWL TOWNHOME","2017-05-01 04:40:01.929453",29.769995,-95.370625,"0101000020E61000001F85EB51B8D757C062156F641EC53D40"
"46",12092716,1178,6073688,"Entire home/apt",NA,"Houston",NA,"MIDTOWN",0,NA,9,3,NA,2000,NA,"Townhome in the heart of Houston","2017-05-01 04:44:56.271510",29.7359,-95.372353,"0101000020E61000005264ADA1D4D757C05C2041F163BC3D40"
"47",12270312,1178,66091683,"Entire home/apt",NA,"Houston",NA,"NEAR NORTHSIDE",0,NA,5,3,NA,1000,NA,"Warm, Bright Family Home","2017-05-01 02:57:48.457191",29.802015,-95.370327,"0101000020E6100000DA740470B3D757C0C5E6E3DA50CD3D40"
"48",16718669,1178,36534408,"Private room",NA,"Houston",NA,"GREATER EASTWOOD",1,NA,2,2,NA,350,NA,"Quaint 1930's East Downtown Duplex","2017-05-01 12:40:49.387499",29.736399,-95.338887,"0101000020E610000088821953B0D557C09ECE15A584BC3D40"
"49",16650308,1178,104015930,"Entire home/apt",NA,"Houston",NA,"GREATER GREENSPOINT",0,NA,3,1,NA,200,NA,"Spacious studio apartment","2017-05-01 01:11:17.111577",29.968654,-95.428716,"0101000020E610000067D13B1570DB57C0BC2363B5F9F73D40"
"50",9936583,1178,51071920,"Entire home/apt",NA,"Houston",NA,"GREATER UPTOWN",5,5,4,1,NA,120,NA,"Galleria Uptown Houston - Exquisitely furnished","2017-05-01 00:32:38.777011",29.752707,-95.457622,"0101000020E610000087FBC8AD49DD57C06478EC67B1C03D40"
"51",17509484,1178,104257244,"Entire home/apt",NA,"Houston",NA,"BRAESWOOD",0,NA,2,1,NA,70,NA,"Kirby Place Apartment - Medical Area","2017-04-30 23:31:10.128082",29.700379,-95.420943,"0101000020E6100000BA9EE8BAF0DA57C021CEC3094CB33D40"
"52",16688733,1178,23296517,"Entire home/apt",NA,"Houston",NA,"NEARTOWN - MONTROSE",0,NA,4,1,NA,450,NA,"Charming apt blocks from downtown","2017-05-01 01:36:53.203243",29.756748,-95.387535,"0101000020E61000008BC3995FCDD857C03C50A73CBAC13D40"
"53",15635053,1178,52342279,"Entire home/apt",NA,"Houston",NA,"AFTON OAKS / RIVER OAKS AREA",1,NA,10,3,NA,550,NA,"Beautiful house in Galleria Area","2017-05-01 02:37:56.419989",29.752003,-95.452389,"0101000020E61000007D04FEF0F3DC57C06F7EC34483C03D40"
"54",15983387,1178,103847098,"Entire home/apt",NA,"Houston",NA,"SECOND WARD",1,NA,4,2,NA,600,NA,"New Modern Home East of Downtown","2017-05-01 02:34:53.249426",29.746784,-95.336105,"0101000020E61000006AC18BBE82D557C0132D793C2DBF3D40"
"55",16962612,1178,4203609,"Entire home/apt",NA,"Houston",NA,"UNIVERSITY PLACE",0,NA,2,1,NA,600,NA,"One bedroom- walk to the Super Bowl!","2017-05-01 02:35:08.938940",29.713388,-95.418271,"0101000020E61000006077BAF3C4DA57C0DD5B9198A0B63D40"
"56",10992209,1178,54665124,"Entire home/apt",NA,"Houston",NA,"WASHINGTON AVENUE COALITION / MEMORIAL PARK",6,5,6,4,NA,300,NA,"Brand new Home in Memorial Park!","2017-05-01 01:11:51.716636",29.764891,-95.420518,"0101000020E6100000475854C4E9DA57C0360186E5CFC33D40"
"57",13856575,1178,14208399,"Private room",NA,"Houston",NA,"WESTBURY",4,5,2,1,NA,45,NA,"Private Room in Houston's Westbury Neighborhood","2017-04-30 22:12:01.146355",29.65543,-95.492206,"0101000020E61000004739984D80DF57C039D1AE42CAA73D40"
"58",16230192,1178,12099664,"Entire home/apt",NA,"Houston",NA,"WASHINGTON AVENUE COALITION / MEMORIAL PARK",0,NA,8,3,NA,999,NA,"Charming Historic in the Heart of Houston","2017-05-01 03:00:00.724489",29.773882,-95.374553,"0101000020E6100000996725ADF8D757C08CF678211DC63D40"
"59",15124803,1178,10216006,"Entire home/apt",NA,"Houston",NA,"BRAESWOOD",1,NA,4,1,NA,135,NA,"Texas Medical Center / MD Anderson Super Cozy   !","2017-05-01 00:46:26.030827",29.698953,-95.420278,"0101000020E61000009C4EB2D5E5DA57C0EB707495EEB23D40"
"60",8810725,1178,46158435,"Private room",NA,"Houston",NA,"GREATER UPTOWN",4,5,2,2,NA,93,NA,"Cozy Galleria Condo","2017-04-30 22:41:55.596564",29.745765,-95.498034,"0101000020E6100000F392FFC9DFDF57C05E807D74EABE3D40"
"61",16612185,1178,54658688,"Entire home/apt",NA,"Houston",NA,"WILLOW MEADOWS / WILLOWBEND AREA",0,NA,4,1,NA,740,NA,"Entire home/apt in Houston 1 bed - 4 guests","2017-05-01 02:57:52.278272",29.677696,-95.45686,"0101000020E610000070B6B9313DDD57C049A12C7C7DAD3D40"
"62",16187731,1178,105706410,"Entire home/apt",NA,"Houston",NA,"DOWNTOWN",0,NA,8,3,NA,2000,NA,"EaDO House with Rooftop Deck for Super Bowl!","2017-05-01 04:40:24.275363",29.745328,-95.353248,"0101000020E610000027D87F9D9BD657C008CBD8D0CDBE3D40"
"63",12009679,1178,29961847,"Entire home/apt",NA,"Houston",NA,"SOUTH MAIN",9,5,8,3,NA,199,NA,"Gorgeous 3-story home near NRG Stadium","2017-05-01 01:10:30.532474",29.667746,-95.433757,"0101000020E61000004F5AB8ACC2DB57C0EA08E066F1AA3D40"
"64",7357533,1178,38513394,"Entire home/apt",NA,"Houston",NA,"MIDTOWN",50,5,4,2,NA,135,NA,"Prime Location Midtown Condo","2017-05-01 00:46:14.237086",29.739345,-95.371196,"0101000020E6100000FC19DEACC1D757C00C76C3B645BD3D40"
"65",16189990,1178,105721937,"Entire home/apt",NA,"Houston",NA,"MID WEST",5,4,2,0,NA,89,NA,"Chateaux Dupre","2017-05-01 00:01:45.571782",29.73911,-95.506427,"0101000020E6100000EEB3CA4C69E057C085251E5036BD3D40"
"66",17042995,1178,114379009,"Private room",NA,"Houston",NA,"GREATER UPTOWN",0,NA,2,1,NA,85,NA,"Quiet and Cozy Private Bedroom - Galleria Area","2017-04-30 22:42:02.702084",29.744166,-95.479388,"0101000020E61000001286014BAEDE57C08ECBB8A981BE3D40"
"67",16012471,1178,16831960,"Entire home/apt",NA,"Houston",NA,"SOUTH MAIN",0,NA,10,3,NA,1500,NA,"Walkable to the Super Bowl. Luxurious house!","2017-05-01 03:54:10.702446",29.67006,-95.418135,"0101000020E610000008944DB9C2DA57C0965B5A0D89AB3D40"
"68",14522612,1178,28928958,"Entire home/apt",NA,"Houston",NA,"ASTRODOME AREA",1,NA,4,2,NA,200,NA,"2/2 walking distance to NRG Stadium","2017-05-01 01:11:08.402091",29.691841,-95.409464,"0101000020E6100000EB387EA834DA57C02D08E57D1CB13D40"
"69",16897416,1178,112758087,"Entire home/apt",NA,"Houston",NA,"MEMORIAL",15,5,4,2,NA,85,NA,"Memorial 2 bedroom Townhouse","2017-04-30 23:47:47.374739",29.774564,-95.599366,"0101000020E6100000661536035CE657C0B1A888D349C63D40"
"70",17046694,1178,114417915,"Entire home/apt",NA,"Houston",NA,"KINGWOOD AREA",0,NA,4,2,NA,46,NA,"20 minutes from Bush Int'l Airport. NE Houston.","2017-04-30 23:30:38.822068",30.039434,-95.225477,"0101000020E6100000034015376ECE57C0B859BC58180A3E40"
"71",16542200,1178,85334800,"Entire home/apt",NA,"Houston",NA,"WESTBURY",0,NA,7,3,NA,2000,NA,"Great location (Super Bowl/Close to NRG Stadium)","2017-05-01 05:04:32.944881",29.655229,-95.492278,"0101000020E610000094A2957B81DF57C00A647616BDA73D40"
"72",15899173,1178,38483146,"Private room",NA,"Houston",NA,"BRAESWOOD",1,NA,4,1,NA,179,NA,"Private room Rice Village,NRG,Med Center,Downtown","2017-04-30 22:43:44.162062",29.702073,-95.422429,"0101000020E610000072F8A41309DB57C094675E0EBBB33D40"
"73",16255853,1178,106295042,"Entire home/apt",NA,"Houston",NA,"SPRING BRANCH EAST",0,NA,6,3,NA,500,NA,"2017 Houston Super Bowl Get Away Centrally located","2017-05-01 01:37:27.275232",29.79902,-95.467554,"0101000020E61000004CC79C67ECDD57C094D920938CCC3D40"
"74",16813526,1178,12986556,"Entire home/apt",NA,"Houston",NA,"SOUTH MAIN",0,NA,10,3,NA,380,NA,"Super Bowl a walk away!! 3bed/2bath","2017-05-01 01:57:44.021683",29.67114,-95.419801,"0101000020E610000000750305DEDA57C09609BFD4CFAB3D40"
"75",16886577,1178,103767711,"Entire home/apt",NA,"Houston",NA,"MEDICAL CENTER AREA",0,NA,8,4,NA,10000,NA,"SUPERBOWL HOUSTON HOME HAS IT ALL!","2017-05-01 04:52:02.881392",29.699103,-95.409689,"0101000020E6100000FB21365838DA57C01689096AF8B23D40"
